Archivo fuente : algoritmos/algoritmo3.rb
Desarrollador  : ValentinaFalconi
Fecha/Hora     : 21-06-2026-22h58
Total tokens   : 292
Total errores  : 0
============================================================
#     TIPO                VALOR                         LINEA
============================================================
1     COMMENT_SINGLE      # algoritmo3.rb  Aporte Integrante 3: Valentina Falconi1
194   ID_LOCAL            n                             65
195   PIPE                |                             65
196   ID_LOCAL            puts                          66
197   ID_LOCAL            n                             66
198   END                 end                           67
199   COMMENT_SINGLE      # Uso de llaves para hash (diccionario)69
200   ID_LOCAL            persona                       70
201   ASSIGN              =                             70
202   LBRACE              {                             70
203   ID_LOCAL            nombre                        70
204   COLON               :                             70
205   STRING              "Valentina"                   70
206   COMMA               ,                             70
207   ID_LOCAL            edad                          70
208   COLON               :                             70
209   INTEGER             21                            70
210   COMMA               ,                             70
211   ID_LOCAL            ciudad                        70
212   COLON               :                             70
213   STRING              "Guayaquil"                   70
214   RBRACE              }                             70
215   ID_LOCAL            puts                          71
216   ID_LOCAL            persona                       71
217   LBRACKET            [                             71
218   SYMBOL              :nombre                       71
219   RBRACKET            ]                             71
220   ID_LOCAL            puts                          72
221   ID_LOCAL            persona                       72
222   LBRACKET            [                             72
223   SYMBOL              :ciudad                       72
224   RBRACKET            ]                             72
225   COMMENT_SINGLE      # Uso de punto para acceder a metodos74
226   ID_LOCAL            texto                         75
227   ASSIGN              =                             75
228   STRING              "hola mundo"                  75
229   ID_LOCAL            puts                          76
230   ID_LOCAL            texto                         76
231   DOT                 .                             76
232   ID_LOCAL            upcase                        76
233   ID_LOCAL            puts                          77
234   ID_LOCAL            texto                         77
235   DOT                 .                             77
236   ID_LOCAL            length                        77
237   COMMENT_SINGLE      # Suma de elementos del arreglo79
238   ID_LOCAL            total                         80
239   ASSIGN              =                             80
240   ID_LOCAL            sumar_elementos               80
241   LPAREN              (                             80
242   ID_LOCAL            numeros                       80
243   RPAREN              )                             80
244   ID_LOCAL            puts                          81
245   STRING              "Suma total: #{total}"        81
246   COMMENT_SINGLE      # Filtros con rangos          83
247   ID_LOCAL            dentro_inclusivo              84
248   ASSIGN              =                             84
249   ID_LOCAL            en_rango_inclusivo            84
250   LPAREN              (                             84
251   ID_LOCAL            numeros                       84
252   COMMA               ,                             84
253   INTEGER             3                             84
254   COMMA               ,                             84
255   INTEGER             7                             84
256   RPAREN              )                             84
257   ID_LOCAL            puts                          85
258   STRING              "Dentro de 3..7: #{dentro_inclusivo}"85
259   ID_LOCAL            dentro_exclusivo              87
260   ASSIGN              =                             87
261   ID_LOCAL            en_rango_exclusivo            87
262   LPAREN              (                             87
263   ID_LOCAL            numeros                       87
264   COMMA               ,                             87
265   INTEGER             3                             87
266   COMMA               ,                             87
267   INTEGER             7                             87
268   RPAREN              )                             87
269   ID_LOCAL            puts                          88
270   STRING              "Dentro de 3...7: #{dentro_exclusivo}"88
271   COMMENT_SINGLE      # Uso de dos puntos como simbolo90
272   ID_LOCAL            etiqueta                      91
273   ASSIGN              =                             91
274   SYMBOL              :activo                       91
275   ID_LOCAL            puts                          92
276   STRING              "Estado: #{etiqueta}"         92
277   COMMENT_SINGLE      # Uso de punto y coma (separador de sentencias)94
278   ID_LOCAL            a                             95
279   ASSIGN              =                             95
280   INTEGER             10                            95
281   SEMICOLON           ;                             95
282   ID_LOCAL            b                             95
283   ASSIGN              =                             95
284   INTEGER             20                            95
285   SEMICOLON           ;                             95
286   ID_LOCAL            c                             95
287   ASSIGN              =                             95
288   ID_LOCAL            a                             95
289   PLUS                +                             95
290   ID_LOCAL            b                             95
291   ID_LOCAL            puts                          96
292   STRING              "a + b = #{c}"                96
